,ID ANUNCIIO,FUENTE INFO,FECHA INICIO ANFITRION,TASA DE RESPUESTA,SUPERANFITRION,CANTIDAD TOTAL ANUNCIOS,LONGITUD,TIPO DE CUARTO,BAÑOS,CAMAS,PRECIO,NOCHES MAXIMAS,MAXIMO NOCHES MINIMAS,MAXIMO NOCHES MAXIMAS,PROMEDIO NOCHES MAXIMAS,DISPONIBILIDAD 30D,DISPONIBILIDAD 90D,CANTIDAD REVIEWS,REVIEWS ULTIMOS 30D,PUNTAJE PRECISION,PUNTAJE CHECKIN,PUNTAJE UBICACION,RESERVA INSTANTANEA,ANUNCIOS HOGAR COMPLETO,ANUNCIOS HABITACION COMPARTIDA
1675,912203080771280997,city scrape,2023-06-12,0%,f,1,6.15239,Entire home/apt,1.0,1.0,$96.00,7,2,7,7.0,29,89,1,0,5.0,5.0,5.0,f,1,0
1676,912219589884997630,city scrape,2015-05-03,70%,f,1,6.13065641373396,Entire home/apt,1.5,2.0,$300.00,365,2,365,365.0,28,88,13,0,4.77,5.0,4.77,f,1,0
1677,912250150418639055,previous scrape,2023-05-19,,t,2,6.21505,Entire home/apt,,,,30,5,1125,1125.0,0,0,11,0,4.36,5.0,4.73,f,1,0
1678,912285231142636381,city scrape,2021-07-15,100%,f,2,6.13577,Entire home/apt,1.0,3.0,$150.00,365,1,365,365.0,29,88,0,0,,,,f,1,0
1679,913854627196566863,previous scrape,2014-03-23,,f,3,6.15653,Entire home/apt,,,,10,3,1125,1125.0,0,0,0,0,,,,f,1,0
1680,914458065410783762,city scrape,2012-10-02,100%,t,22,6.1446912,Entire home/apt,1.0,2.0,$190.00,365,2,1125,1125.0,22,64,57,0,4.74,4.61,4.88,t,18,0
1681,914522458746748864,previous scrape,2019-05-22,,f,1,6.13133,Entire home/apt,,,,365,14,365,365.0,0,0,6,0,5.0,4.83,4.67,f,1,0
1682,914895830428484718,city scrape,2013-10-23,100%,f,1,6.1423676,Private room,1.0,1.0,$63.00,8,2,8,8.0,28,88,3,0,5.0,5.0,5.0,f,0,0
1683,915091367489160354,city scrape,2012-09-10,98%,f,447,6.16113,Entire home/apt,1.0,1.0,$149.00,365,2,1125,1125.0,0,0,24,0,4.46,4.75,4.83,t,92,0
1684,915103641560174454,city scrape,2013-06-11,100%,t,1,6.159154,Entire home/apt,1.0,1.0,$115.00,365,5,365,365.0,1,13,28,3,4.93,4.96,4.96,f,1,0
1685,916070747094541803,previous scrape,2016-06-02,100%,f,1,6.13189,Entire home/apt,,,,14,5,14,14.0,2,2,5,0,5.0,5.0,4.8,f,1,0
1686,917159543770686348,city scrape,2023-06-19,0%,f,1,6.16284,Private room,1.0,1.0,$31.00,30,2,30,30.0,16,53,0,0,,,,f,0,0
1687,918004668699022803,city scrape,2023-03-15,100%,f,4,6.12163,Entire home/apt,1.0,2.0,$116.00,45,5,45,45.0,3,3,13,0,4.23,4.69,4.54,t,2,0
1688,918086924364312951,city scrape,2023-06-20,100%,t,1,6.14589563862304,Entire home/apt,1.0,2.0,$331.00,120,90,120,120.0,21,60,64,2,4.94,4.88,4.95,f,1,0
1689,918177910858954096,previous scrape,2021-08-30,71%,f,2,6.11215,Entire home/apt,,,,365,1,365,365.0,0,0,0,0,,,,f,1,0
1690,918607285581941740,previous scrape,2023-03-05,100%,t,1,6.15998335182667,Entire home/apt,,,,10,2,10,10.0,0,1,21,0,5.0,5.0,5.0,f,1,0
1691,918775544257945792,previous scrape,2020-02-11,,f,2,6.1515,Entire home/apt,,,,365,3,365,365.0,0,0,2,0,4.5,3.0,5.0,f,1,0
1692,919415267339952363,city scrape,2015-02-15,100%,f,3,6.13728907306519,Entire home/apt,1.0,3.0,$90.00,720,2,720,720.0,7,8,10,4,4.6,4.6,4.9,f,1,0
1693,919442312483941936,city scrape,2023-06-22,100%,f,6,6.1484272817327,Private room,1.0,2.0,$86.00,365,1,365,365.0,24,28,84,1,4.6,4.82,4.39,f,0,0
1694,920877625206429740,city scrape,2015-08-08,100%,f,1,6.16699,Entire home/apt,1.0,1.0,$95.00,90,2,90,90.0,0,0,11,0,4.91,4.91,4.91,f,1,0
1695,921408293122871010,city scrape,2013-07-04,13%,f,1,6.159,Entire home/apt,1.0,3.0,$150.00,30,3,30,30.0,1,54,7,0,5.0,5.0,4.86,f,1,0
1696,922288534158726503,city scrape,2017-02-16,100%,t,6,6.21062,Entire home/apt,1.0,4.0,$255.00,300,2,1125,1125.0,17,77,30,0,5.0,5.0,4.83,f,3,0
1697,922332098622371068,city scrape,2016-04-02,,f,1,6.16039,Entire home/apt,1.0,1.0,$190.00,30,6,30,30.0,27,87,0,0,,,,f,1,0
1698,922413871824543462,previous scrape,2016-05-15,100%,f,1,6.20834,Private room,,,,21,3,21,21.0,8,68,1,0,5.0,5.0,5.0,f,0,0
1699,922594066972923883,city scrape,2023-06-05,8%,f,1,6.13722,Entire home/apt,1.0,1.0,$81.00,365,1,365,365.0,28,87,0,0,,,,f,1,0
1700,922873964796410730,city scrape,2023-04-21,,f,2,6.11175679731367,Entire home/apt,1.0,1.0,$90.00,90,3,1125,1125.0,0,56,1,0,5.0,5.0,5.0,t,1,0
1701,922937738588739264,previous scrape,2015-09-07,0%,f,1,6.15971,Private room,,,,365,2,365,365.0,0,0,7,0,5.0,5.0,4.86,f,0,0
1702,923004230182893169,city scrape,2021-08-24,100%,t,8,6.13466,Entire home/apt,1.0,1.0,$99.00,365,29,1125,1125.0,19,77,18,4,4.94,5.0,4.94,t,5,0
1703,923603494342209687,city scrape,2023-05-09,100%,t,9,6.13179,Private room,2.0,3.0,$120.00,7,2,1125,1125.0,20,73,6,0,4.83,4.83,4.5,t,0,0
1704,923978134556675695,city scrape,2023-06-28,100%,t,2,6.14794,Private room,1.0,1.0,$80.00,1125,3,1125,1125.0,28,88,17,0,4.88,5.0,5.0,f,0,0
1705,924393333791781109,city scrape,2019-07-05,88%,f,377,6.14265,Entire home/apt,1.0,1.0,$175.00,365,30,365,365.0,29,89,0,0,,,,f,175,0
1706,924644105759022769,previous scrape,2023-05-09,100%,t,9,6.13153,Private room,,,,7,2,1125,1125.0,14,64,0,0,,,,t,0,0
1707,924657405468058705,city scrape,2023-05-09,100%,t,9,6.13157,Private room,1.0,1.0,$70.00,7,2,1125,1125.0,6,54,0,0,,,,t,0,0
1708,924681184427409140,city scrape,2023-05-09,100%,t,9,6.13175,Private room,1.0,1.0,$50.00,7,2,1125,1125.0,6,57,1,0,5.0,5.0,5.0,t,0,0
1709,924737620200069629,city scrape,2021-09-08,0%,f,11,6.13354,Entire home/apt,1.0,1.0,$103.00,365,5,365,365.0,22,78,1,0,5.0,5.0,5.0,f,10,0
1710,924782008435150164,city scrape,2015-11-08,100%,f,8,6.13637,Entire home/apt,1.5,2.0,$205.00,365,4,1125,1125.0,21,80,6,0,4.5,5.0,4.5,t,6,0
1711,925113745189387085,city scrape,2023-05-09,100%,t,9,6.13165,Private room,1.0,1.0,$50.00,7,2,1125,1125.0,7,56,4,0,4.75,4.75,4.5,t,0,0
1712,925124342101911298,city scrape,2023-05-09,100%,t,9,6.13385,Private room,1.0,1.0,$50.00,7,2,1125,1125.0,3,50,6,0,5.0,5.0,5.0,t,0,0
1713,925253752373918572,city scrape,2018-05-18,50%,f,1,6.1423628,Entire home/apt,1.0,1.0,$96.00,4,2,4,4.0,20,20,1,0,5.0,5.0,5.0,t,1,0
1714,925309914446775607,city scrape,2023-03-13,100%,t,1,6.1442363,Private room,1.0,1.0,$100.00,10,2,10,10.0,29,86,26,2,4.96,5.0,5.0,f,0,0
1715,925480763967365845,previous scrape,2023-06-30,100%,f,3,6.14116,Private room,,,,6,2,6,6.0,0,0,6,0,5.0,5.0,5.0,f,1,0
1716,925519209986221064,previous scrape,2023-06-30,100%,f,3,6.14229,Private room,,,,14,2,14,14.0,0,0,9,0,4.78,4.78,5.0,f,1,0
